stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
2594025,RI0022,"Avenida Francisco Firmo de Matos, 711",,-19.94670826,-44.04563091,,,0,,,0,
2594026,RI0023,"Avenida Frei Henrique Soares, 199",,-19.95726015,-44.03887424,,,0,,,0,
2594027,RI0024,"Avenida Frei Henrique Soares, 252",,-19.95758177,-44.03929294,,,0,,,0,
2594028,RI0025,"Avenida Frei Henrique Soares, 310 ( E. E. Ruy Pimenta)",,-19.95928759,-44.04034684,,,0,,,0,
2594029,RI0026,"Avenida Frei Henrique Soares, 431 (L. O. E. E. Ruy Pimenta)",,-19.95905606,-44.04000425,,,0,,,0,
2594030,RI0027,"Avenida Frei Henrique Soares, 86",,-19.95630947,-44.03851238,,,0,,,0,
2594031,IN0037,"Avenida General David Sarnoff, 1515 (Magotteaux)",,-19.94818779,-44.02669708,,,0,,,0,
2594032,IN0038,"Avenida General David Sarnoff, 1416 (L. O. Magotteaux)",,-19.94794044,-44.02662662,,,0,,,0,
2594033,IN0039,"Avenida General David Sarnoff, 1945",,-19.95386021,-44.01815428,,,0,,,0,
2594034,IN0040,"Avenida General David Sarnoff, 3172, Industrial Itaú",,-19.96073811,-44.03302178,,,0,,,0,
2594035,IN0041,"Avenida General David Sarnoff, 3450, Industrial Ituaú",,-19.96210891,-44.03231252,,,0,,,0,
2594036,IN0042,"Avenida General David Sarnoff, s/n (L. O. 3906)",,-19.96354831,-44.02935228,,,0,,,0,
2594037,IN0043,"Avenida General David Sarnoff, 3826",,-19.96375358,-44.0297334,,,0,,,0,
2594038,IN0250,"Avenida General David Sarnoff, s/n (L. O. 4272), Cidade Industrial",,-19.96374538,-44.02594695,,,0,,,0,
2594040,IN0044,"Avenida General David Sarnoff, 4352 (E. E. Dep. Cláudio Pinheiro)",,-19.96411759,-44.02403678,,,0,,,0,
2594041,IN0045,"Avenida General David Sarnoff, 4996 (L. O. Mart Minas)",,-19.96349957,-44.02128854,,,0,,,0,
2594042,IN0046,"Avenida General David Sarnoff, 5070",,-19.96194445,-44.02017465,,,0,,,0,
2594043,IN0047,"Avenida General David Sarnoff, 5091",,-19.96057175,-44.01950801,,,0,,,0,
2594044,IN0242,"Avenida General David Sarnoff, 4840 (Telha Norte)",,-19.94897828,-44.02024879,,,0,,,0,
2594045,IN0049,"Avenida General David Sarnoff, 551 (Belgo I)",,-19.9489905,-44.02064333,,,0,,,0,
